'C_q:[as=smp,vc=smp]:አጨ፟ቀ::TqTq.E_
'x*:[as=it,vc=ps]:ተሻሸ፟::xxy.A_ps
'x*:[as=smp,vc=ps]:ታሸ፟::xxy.A_ps
'y*:[as=smp,vc=cs]:አሳየ፟::hZy.A_csps
'y*:[as=smp,vc=ps]:ታየ፟::lyy.B_cs
'y*:[as=smp,vc=smp]:አየ፟::hZy.A_
'y_l:[as=smp,vc=smp]:አየ፟ለ::ngs.A_
'zn:[as=smp,vc=smp]:አዘ፟ነ::hzn.A_
'zz:[as=smp,vc=smp]:አዘ፟ዘ::hzz.B_
C'C':[as=smp,vc=tr]:አጫጫ፟::TZy.B_csps
C'n:[as=smp,vc=smp]:ጫነ::Chn.A_
C'r:[as=smp,vc=smp]:ጫረ::Chr.A_
Cawt:[as=smp,vc=tr]:አጫወ፟ተ::Cwt.C_csps
CbCb:[as=smp,vc=tr]:አጨበጨ፟በ::CbCb.E_cs
Cf_n:[as=smp,vc=ps]:ተጨፈ፟ነ::Cfn.B_ps
Cf_r:[as=smp,vc=smp]:ጨፈ፟ረ::rgT.A_
Ck_n:[as=it,vc=ps]:ተጨካከ፟ነ::Ckn.A_psit
Cl_T:[as=smp,vc=smp]:ጨለ፟ጠ::ClT.B_
Cl_f:[as=smp,vc=smp]:ጨለ፟ፈ::Clf.B_
Cl_m:[as=smp,vc=smp]:ጨለ፟መ::dfn.A_psrc
Clg:[as=smp,vc=tr]:አጨለ፟ገ::Clg.AW_cs
Cm_r:[as=smp,vc=smp]:ጨመ፟ረ::hsg.B_
Cm_t:[as=smp,vc=smp]:ጨመ፟ተ::Cmt.B_
Cmalq:[as=it,vc=tr]:አጨ፟መላለ፟ቀ::rkt.C_
Cmalq:[as=smp,vc=ps]:ተጨማለ፟ቀ::rkt.C_ps
Cmdd:[as=rc,vc=ps]:ተጨማደ፟ደ::Cmtr.F_ps
Cmq:[as=smp,vc=ps]:ተጨመ፟ቀ::qqr.AW_ps
Cmq:[as=smp,vc=smp]:ጨመ፟ቀ::qqr.AW_
Cngf:[as=rc,vc=ps]:ተጨናገ፟ፈ::Trbs.F_ps
Cnq:[as=smp,vc=cs]:አስጨነ፟ቀ::Cnq.A_csps
Cnq:[as=smp,vc=smp,ob=[+xpl]]:ጨነ፟ቀው::Cnq.A_3
CqCq:[as=rc,vc=ps]:ተጨቃጨ፟ቀ::CqCq.E_psrc
CqCq:[as=smp,vc=smp]:ጨቀጨ፟ቀ::CqCq.E_
Cr_s:[as=smp,vc=cs]:አስጨረ፟ሰ::fjy.A_csps
Cr_s:[as=smp,vc=smp]:ጨረ፟ሰ::fjy.A_
Cramt:[as=smp,vc=tr]:አጨራመ፟ተ::Crmt.F_csps
Cwh:[as=smp,vc=smp]:ጮኸ::nqy.AW_
Cwl:[as=smp,vc=tr]:አጮለ::Cwl.A_cs
Cys:[as=it,vc=ps]:ተጫጫሰ::tnn.C_ps
Sd':[as=smp,vc=cs]:አጸ፟ዳ፟::Tdh.A_cs
Sd':[as=smp,vc=smp]:ጸዳ፟::Tdh.A_
Sdq:[as=smp,vc=smp]:ጸደ፟ቀ::brk.C_ps
Sn':[as=smp,vc=smp]:ጸና፟::rgh.A_
Swm:[as=smp,vc=smp]:ጾመ::Tmy.Aw_
T'd:[as=smp,vc=smp]:ጣደ::Thd.A_
T'l:[as=smp,vc=cs]:አስጣለ::hdg.A_csps
T'l:[as=smp,vc=smp]:ጣለ::hdg.A_
T'r:[as=it,vc=ps]:ተጣጣረ::Thr.A_psit
T'r:[as=it,vc=tr]:አጣ፟ጣረ::Thr.A_cspsit
T's:[as=smp,vc=smp]:ጣሰ::Ths.A_
TT_':[as=smp,vc=smp]:ጠጣ፟::sCy.A_
TT_':[as=smp,vc=tr]:አጠጣ፟::sCy.A_cs
TafT:[as=smp,vc=smp]:ጣፈ፟ጠ::Chm.A_
TafT:[as=smp,vc=tr]:አጣፈ፟ጠ::Chm.A_cs
Tb':[as=smp,vc=smp]:ጠባ፟::Tby.Aw_
Tb':[as=smp,vc=tr]:አጠባ፟::Tby.Aw_cs
Tb_q:[as=rc,vc=tr]:አጣ፟በ፟ቀ::Tbq.B_cspsrc
Tb_q:[as=smp,vc=smp]:ጠበ፟ቀ::Tbq.B_
Tbb:[as=rc,vc=ps]:ተጣበ፟በ::Tbb.A_psrc
Tbb:[as=smp,vc=ps]:ተጠበ፟በ::Tbb.A_ps
Tbb:[as=smp,vc=smp]:ጠበ፟በ::Tbb.A_
Tbb:[as=smp,vc=tr]:አጠበ፟በ::Tbb.A_cs
Tbs:[as=smp,vc=smp]:ጠበ፟ሰ::Tbs.A_
Td':[as=smp,vc=tr]:አጠዳ፟::Tdh.A_cs
Tf':[as=rc,vc=tr]:አጣ፟ፋ፟::Tfh.A_cspsrc
Tf':[as=smp,vc=cs]:አስጠፋ፟::Tfh.A_csps
Tf':[as=smp,vc=smp]:ጠፋ፟::Tfh.A_
Tf':[as=smp,vc=tr]:አጠፋ፟::Tfh.A_cs
TfTf:[as=smp,vc=ps]:ተጠፈጠ፟ፈ::TfTf.E_ps
TfTf:[as=smp,vc=smp]:ጠፈጠ፟ፈ::TfTf.E_
Tf_r:[as=smp,vc=cs]:አስጠፈ፟ረ::Tfr.B_csps
Tf_r:[as=smp,vc=ps]:ተጠፈ፟ረ::Tfr.B_ps
Tg':[as=it,vc=ps]:ተጥጋጋ፟::Tgh.B_psit
Tg':[as=it,vc=tr]:አጥጋጋ፟::Tgh.B_cspsit
Tg':[as=smp,vc=cs]:አስጠጋ፟::Tgh.B_csps
Tg':[as=smp,vc=ps]:ተጠጋ፟::Tgh.B_ps
Tgb:[as=smp,vc=smp]:ጠገ፟በ::grh.A_
Tgb:[as=smp,vc=tr]:አጠገ፟በ::grh.A_cs
Tl':[as=rc,vc=ps]:ተጣላ፟::Tlh.A_psrc
Tl':[as=smp,vc=cs]:አስጠላ፟::Tlh.A_csps
Tl':[as=smp,vc=smp]:ጠላ፟::Tlh.A_
Tl_l:[as=smp,vc=smp]:ጠለ፟ለ::Tll.A_
Tl_l:[as=smp,vc=tr]:አጠለ፟ለ::Tll.A_cs
Tlf:[as=it,vc=ps]:ተጠላለ፟ፈ::Tlf.A_psit
Tlf:[as=smp,vc=ps]:ተጠለ፟ፈ::Tlf.A_ps
Tlf:[as=smp,vc=smp]:ጠለ፟ፈ::Tlf.A_
Tlq:[as=smp,vc=smp]:ጠለ፟ቀ::Tlq.A_
Tlq:[as=smp,vc=tr]:አጠለ፟ቀ::Tlq.A_cs
Tm':[as=smp,vc=ps]:ተጠማ፟::Tmh.A_3
Tm':[as=smp,vc=smp,ob=[+xpl]]:ጠማ፟ው::Tmh.A_3
Tmd:[as=rc,vc=ps]:ተጣመ፟ደ::Tmd.A_ps
Tmd:[as=rc,vc=tr]:አጣ፟መ፟ደ::Tmd.A_cspsrc
Tmd:[as=smp,vc=ps]:ተጠመ፟ደ::Tmd.A_ps
Tmd:[as=smp,vc=smp]:ጠመ፟ደ::Tmd.A_
Tmm:[as=rc,vc=ps]:ተጣመ፟መ::Tmm.A_psrc
Tmm:[as=rc,vc=tr]:አጣ፟መ፟መ::Tmm.A_cs
Tmm:[as=smp,vc=smp]:ጠመ፟መ::Tmm.A_
Tn':[as=smp,vc=tr]:አጠና፟::Tnh.A_cs
TnTn:[as=smp,vc=smp]:ጠነጠ፟ነ::qWnqWn.E_
Tnb':[as=smp,vc=smp]:ጠነባ፟::Tnbh.E_
Tnbz:[as=smp,vc=smp]:ጠነበ፟ዘ::Tnbz.E_
Tnff:[as=smp,vc=smp]:ጠነፈ፟ፈ::Tnff.E_
Tnkr:[as=smp,vc=smp]:ጠነከ፟ረ::Tnkr.E_
Tnkr:[as=smp,vc=tr]:አጠነከ፟ረ::Tnkr.E_cs
Tnqq:[as=smp,vc=cs]:አስጠነቀ፟ቀ::knh.B_csps
Tnqq:[as=smp,vc=ps]:ተጠነቀ፟ቀ::knh.B_ps
Tnss:[as=smp,vc=smp]:ጠነሰ፟ሰ::dmdm.F_cs
Tnz':[as=smp,vc=tr]:አጠነዛ፟::Trbs.F_csps
Tq':[as=it,vc=ps]:ተጥቃቃ፟::Tqh.A_psit
Tq':[as=smp,vc=tr]:አጠቃ፟::Tqh.A_cs
TqTq:[as=smp,vc=ps]:ተጠቀጠ፟ቀ::sksk.E_ps
TqTq:[as=smp,vc=smp]:ጠቀጠ፟ቀ::sksk.E_
TqWr:[as=smp,vc=smp]:ጠቈ፟ረ::Tqr.A_
Tqll:[as=rc,vc=tr]:አጠ፟ቃለ፟ለ::Tqll.E_cspsrc
Tqll:[as=smp,vc=cs]:አስጠቀለ፟ለ::Tqll.E_csps
Tqll:[as=smp,vc=smp]:ጠቀለ፟ለ::Tqll.E_
Tqs:[as=it,vc=ps]:ተጠቃቀ፟ሰ::Tqs.A_psit
Tqs:[as=smp,vc=tr]:አጠቀ፟ሰ::Tqs.A_
Tr':[as=it,vc=ps]:ተጥራራ፟::Trh.A_psit
Tr':[as=rc,vc=ps]:ተጣራ፟::Trh.A_psrc
Tr':[as=rc,vc=tr]:አጣ፟ራ፟::Trh.A_cspsrc
Tr':[as=smp,vc=smp]:ጠራ፟::Trh.A_
Tr':[as=smp,vc=tr]:አጠራ፟::Trh.A_cs
Trb:[as=smp,vc=smp]:ጠረ፟በ::Trb.A_
Trg:[as=it,vc=ps]:ተጠራረ፟ገ::Trg.A_psit
Trg:[as=smp,vc=smp]:ጠረ፟ገ::Trg.A_
Trms:[as=smp,vc=smp]:ጠረመ፟ሰ::Trms.E_
Twlg:[as=smp,vc=smp]:ጠወለ፟ገ::Tgl.AW_
Ty_f:[as=smp,vc=ps]:ተጠየ፟ፈ::Tyf.B_ps
Ty_q:[as=it,vc=tr]:አጠ፟ያየ፟ቀ::xhl.A_psit
Ty_q:[as=smp,vc=smp]:ጠየ፟ቀ::xhl.A_ps
TzTz:[as=smp,vc=smp]:ጠዘጠ፟ዘ::TzTz.E_
T|lqlq:[as=smp,vc=ps]:ተጥለቀለ፟ቀ::wZgy.E_cs
T|wlwl:[as=smp,vc=tr,ob=[+xpl]]:አጥወለወ፟ለው::Tll.B_3
Zl_T:[as=smp,vc=smp]:ዠለ፟ጠ::Zmdd.E_
b'b':[as=smp,vc=smp]:ባባ፟::bbh.C_
b'l:[as=it,vc=ps]:ተባባለ::bhl.A_psit
b'l:[as=smp,vc=cs]:አስባለ::bhl.A_csps
b'l:[as=smp,vc=ps]:ተባለ::bhl.A_ps
b'l:[as=smp,vc=smp]:አለ::bhl.A_
b's:[as=it,vc=ps]:ተባባሰ::bhs.A_psit
b's:[as=it,vc=tr]:አባ፟ባሰ::bhs.A_cs
b's:[as=smp,vc=smp]:ባሰ::bhs.A_
b's:[as=smp,vc=tr]:አባሰ::bhs.A_cs
bT_r:[as=smp,vc=tr]:አበጠ፟ረ::bTr.B_cs
bT_s:[as=it,vc=ps]:ተበጣጠ፟ሰ::mTs.AW_psit
bT_s:[as=smp,vc=ps]:ተበጠ፟ሰ::mTs.AW_ps
bT_s:[as=smp,vc=smp]:በጠ፟ሰ::mTs.AW_
bTbT:[as=rc,vc=tr]:አበ፟ጣበ፟ጠ::bTbT.E_cspsrc
bTbT:[as=smp,vc=ps]:ተበጠበ፟ጠ::bTbT.E_ps
bTbT:[as=smp,vc=smp]:በጠበ፟ጠ::bTbT.E_
bWaTT:[as=smp,vc=smp]:ቧጠ፟ጠ::Cfr.C_
bWk':[as=smp,vc=tr]:አቦካ፟::bkh.AW_cs
bWr_q:[as=smp,vc=smp]:ቦረ፟ቀ::fnTr.F_ps
bWtrf:[as=smp,vc=ps]:ተቦተረ፟ፈ::bWtrf.E_ps
bWz_n:[as=smp,vc=tr]:አቦዘ፟ነ::snf.A_cspsrc
bakn:[as=smp,vc=smp]:ባከ፟ነ::bkn.C_
bakn:[as=smp,vc=tr]:አባከ፟ነ::bkn.C_cs
balg:[as=smp,vc=smp]:ባለ፟ገ::rkt.C_ps
bann:[as=smp,vc=smp]:ባነ፟ነ::bnn.C_
bark:[as=smp,vc=ps]:ተባረ፟ከ::brk.C_ps
bark:[as=smp,vc=smp]:ባረ፟ከ::brk.C_
barq:[as=smp,vc=smp]:ባረ፟ቀ::brq.C_
bd_l:[as=smp,vc=ps]:ተበደ፟ለ::bdl.B_ps
bj_*:[as=smp,vc=cs]:አስበጀ፟::xkt.B_csps
bj_*:[as=smp,vc=smp]:በጀ፟::xkt.B_ps
bj_*:[as=smp,vc=tr]:አበጀ፟::xkt.B_
bk_l:[as=smp,vc=ps]:ተበከ፟ለ::mrz.B_ps
bkt:[as=smp,vc=smp]:በከ፟ተ::bkt.A_
bl':[as=rc,vc=ps]:ተባላ፟::blh.A_psrc
bl':[as=rc,vc=tr]:አባ፟ላ፟::blh.A_cspsrc
bl':[as=smp,vc=cs]:አስበላ፟::blh.A_csps
bl':[as=smp,vc=smp]:በላ፟::blh.A_
bl':[as=smp,vc=tr]:አበላ፟::blh.A_cs
blT:[as=smp,vc=cs]:አስበለ፟ጠ::blT.A_csps
blT:[as=smp,vc=ps]:ተበለ፟ጠ::blT.A_ps
blTT:[as=smp,vc=ps]:ተበለጠ፟ጠ::blTT.E_ps
blax*:[as=smp,vc=ps]:ተበላሸ፟::blxy.F_ps
blax*:[as=smp,vc=tr]:አበላሸ፟::blxy.F_csps
bq':[as=it,vc=ps]:ተብቃቃ፟::bqh.A_psit
bq':[as=smp,vc=smp]:በቃ፟::bqh.A_
bq':[as=smp,vc=tr]:አበቃ፟::bqh.A_cs
br':[as=smp,vc=smp]:በራ፟::brh.A_
br':[as=smp,vc=tr]:አበራ፟::brh.A_cs
brbr:[as=smp,vc=ps]:ተበረበ፟ረ::brbr.E_ps
brd:[as=smp,vc=smp]:በረ፟ደ::brd.A_
brd:[as=smp,vc=tr]:አበረ፟ደ::brd.A_cs
brgd:[as=smp,vc=ps]:ተበረገ፟ደ::brqs.E_ps
brr:[as=smp,vc=smp]:በረ፟ረ::brr.A_
brt':[as=rc,vc=ps]:ተበራታ፟::brth.E_psrc
brt':[as=smp,vc=smp]:በረታ፟::brth.E_
bsbs:[as=rc,vc=ps]:ተበሳበ፟ሰ::mTmT.E_psrc
bsbs:[as=smp,vc=smp]:በሰበ፟ሰ::mTmT.E_
bsbs:[as=smp,vc=tr]:አበሰበ፟ሰ::mTmT.E_cs
bsl:[as=rc,vc=ps]:ተባሰ፟ለ::bsl.A_psrc
bsl:[as=smp,vc=cs]:አስበሰ፟ለ::bsl.A_csps
bsl:[as=smp,vc=smp]:በሰ፟ለ::bsl.A_
bsl:[as=smp,vc=tr]:አበሰ፟ለ::bsl.A_cs
bt_n:[as=smp,vc=ps]:ተበተ፟ነ::btn.B_ps
bt_n:[as=smp,vc=smp]:በተ፟ነ::btn.B_
bz':[as=rc,vc=ps]:ተባዛ፟::bzh.A_psrc
bz':[as=rc,vc=tr]:አባ፟ዛ፟::bzh.A_cspsrc
bz':[as=smp,vc=tr]:አበዛ፟::bzh.A_cs
c'l:[as=smp,vc=smp]:ቻለ::chl.A_
cbcb:[as=smp,vc=smp]:ቸበቸ፟በ::cbcb.E_
cfcf:[as=smp,vc=smp]:ቸፈቸ፟ፈ::CqCq.E_cs
cg_r:[as=smp,vc=ps]:ተቸገ፟ረ::mkh.A_ps
cg_r:[as=smp,vc=smp]:ቸገ፟ረ::mkh.A_
ckW_l:[as=smp,vc=smp]:ቸኰ፟ለ::ggy.AW_
ck_l:[as=smp,vc=ps]:ተቸከ፟ለ::ckl.B_ps
ck_l:[as=smp,vc=smp]:ቸከ፟ለ::ckl.B_
cl_s:[as=smp,vc=ps]:ተቸለ፟ሰ::klbs.F_ps
cnkr:[as=smp,vc=ps]:ተቸነከ፟ረ::cnkr.E_
cnkr:[as=smp,vc=smp]:ቸነከ፟ረ::cnkr.E_
crcr:[as=smp,vc=ps]:ተቸረቸ፟ረ::crcr.E_ps
crcr:[as=smp,vc=smp]:ቸረቸ፟ረ::crcr.E_
cyk:[as=smp,vc=tr]:አቸከ::trr.A_cspsrc
d'T:[as=smp,vc=tr]:አዳጠ::nblCy.F_cs
d'h:[as=smp,vc=smp]:ዳኸ::nbcy.F_cs
d'n:[as=smp,vc=smp]:ዳነ::fyy.Aw_
d'r:[as=smp,vc=ps]:ተዳረ::ljy.Aw_ps
d'r:[as=smp,vc=smp]:ዳረ::ljy.Aw_
dabr:[as=smp,vc=smp]:ዳበ፟ረ::Trqh.E_
dabs:[as=smp,vc=smp]:ዳበ፟ሰ::bsbs.F_cs
dakr:[as=smp,vc=smp]:ዳከ፟ረ::dkr.C_
dalT:[as=smp,vc=tr]:አዳለ፟ጠ::nblCy.F_cs
darg:[as=smp,vc=ps]:ተዳረ፟ገ::drg.C_ps
dass:[as=smp,vc=smp]:ዳሰ፟ሰ::bsbs.F_cs
dawr:[as=smp,vc=tr]:አዳወ፟ረ::dwr.C_cs
db':[as=smp,vc=tr]:አደባ፟::zfl.C_cs
db_l:[as=rc,vc=ps]:ተዳበ፟ለ::dbl.C_cs
db_q:[as=it,vc=ps]:ተደባበ፟ቀ::shT.A_psit
db_q:[as=smp,vc=ps]:ተደበ፟ቀ::shT.A_ps
db_q:[as=smp,vc=smp]:ደበ፟ቀ::shT.A_
dbb:[as=smp,vc=smp]:ደበ፟በ::dbb.A_
dbzz:[as=smp,vc=smp]:ደበዘ፟ዘ::dbzz.E_
df':[as=smp,vc=ps]:ተደፋ፟::dfh.A_ps
df':[as=smp,vc=smp]:ደፋ፟::dfh.A_
dfT:[as=smp,vc=tr]:አደፈ፟ጠ::dfT.A_cs
dfTT:[as=smp,vc=smp]:ደፈጠ፟ጠ::dfTT.E_
dfn:[as=rc,vc=ps]:ተዳፈ፟ነ::dfn.A_psrc
dfn:[as=rc,vc=tr]:አዳ፟ፈ፟ነ::dfn.A_cspsrc
dfn:[as=smp,vc=smp]:ደፈ፟ነ::dfn.A_
dfr:[as=it,vc=tr]:አደ፟ፋፈ፟ረ::dfr.A_cspsit
dfr:[as=rc,vc=ps]:ተዳፈ፟ረ::dfr.A_
dfr:[as=smp,vc=smp]:ደፈ፟ረ::dfr.A_
dfrs:[as=smp,vc=smp]:ደፈረ፟ሰ::bTbT.E_ps
dfrs:[as=smp,vc=tr]:አደፈረ፟ሰ::bTbT.E_
dg_f:[as=smp,vc=cs]:አስደገ፟ፈ::xmk.B_cspsrc
dg_f:[as=smp,vc=ps]:ተደገ፟ፈ::xmk.B_psrc
dkm:[as=rc,vc=ps]:ተዳከ፟መ::qyT.A_psit
dkm:[as=smp,vc=smp]:ደከ፟መ::qyT.A_
dl':[as=rc,vc=tr]:አዳ፟ላ፟::dlh.A_cs
dl':[as=smp,vc=tr]:አደላ፟::dlh.A_cs
dl_z:[as=smp,vc=smp]:ደለ፟ዘ::dls.B_
dlb:[as=smp,vc=smp]:ደለ፟በ::dlb.A_
dlb:[as=smp,vc=tr]:አደለ፟በ::dlb.A_cs
dldl:[as=rc,vc=ps]:ተደላደ፟ለ::dldl.E_psrc
dldl:[as=smp,vc=smp]:ደለደ፟ለ::dldl.E_
dm':[as=smp,vc=smp]:ደማ፟::dmy.Aw_
dm':[as=smp,vc=tr]:አደማ፟::dmy.Aw_cs
dmT:[as=smp,vc=ps]:ተደመ፟ጠ::smh.A_ps
dmT:[as=smp,vc=tr]:አደመ፟ጠ::smh.A_
dm_r:[as=smp,vc=smp]:ደመ፟ረ::dmr.B_
dmq:[as=smp,vc=smp]:ደመ፟ቀ::dmq.A_
dmss:[as=smp,vc=ps]:ተደመሰ፟ሰ::Tfh.A_
dn_s:[as=smp,vc=smp]:ደነ፟ሰ::rgT.A_
dn_z:[as=smp,vc=smp]:ደነ፟ዘ::Trs.A_
dnagr:[as=smp,vc=tr]:አደናገ፟ረ::qbZy.F_csps
dnbr:[as=rc,vc=ps]:ተደናበ፟ረ::dnbr.E_psrc
dnbr:[as=smp,vc=smp]:ደነበ፟ረ::dnbr.E_
dndn:[as=smp,vc=smp]:ደነደ፟ነ::dndn.E_
dnf':[as=smp,vc=smp]:ደነፋ፟::frqh.F_ps
dngT:[as=smp,vc=cs]:አስደነገ፟ጠ::dngT.E_csps
dngT:[as=smp,vc=smp]:ደነገ፟ጠ::dngT.E_
dnq:[as=smp,vc=cs]:አስደነ፟ቀ::grm.A_csps
dnq:[as=smp,vc=ps]:ተደነ፟ቀ::grm.A_ps
dnqWr:[as=smp,vc=tr]:አደነቈ፟ረ::TnqWr.E_cs
dnzz:[as=smp,vc=smp]:ደነዘ፟ዘ::drzz.E_
dq_l:[as=smp,vc=smp]:ደቀ፟ለ::dql.B_
drdr:[as=smp,vc=smp]:ደረደ፟ረ::sdr.B_
drg:[as=smp,vc=cs]:አስደረ፟ገ::qnh.B_csps
drg:[as=smp,vc=tr]:አደረ፟ገ::qnh.B_
drq:[as=rc,vc=ps]:ተዳረ፟ቀ::drq.A_psrc
drq:[as=smp,vc=smp]:ደረ፟ቀ::drq.A_
drs:[as=it,vc=tr]:አደ፟ራረ፟ሰ::slh.A_csit
drs:[as=rc,vc=tr]:አዳ፟ረ፟ሰ::slh.A_cspsrc
drs:[as=smp,vc=smp]:ደረ፟ሰ::slh.A_
drs:[as=smp,vc=tr]:አደረ፟ሰ::slh.A_cs
ds_t:[as=smp,vc=cs]:አስደሰ፟ተ::blq.A_cspsit
ds_t:[as=smp,vc=ps]:ተደሰ፟ተ::blq.A_psit
d|bWlbWl:[as=smp,vc=tr]:አድቦለቦ፟ለ::nkrkr.E_cs
f'q:[as=smp,vc=smp]:ፋቀ::fhq.A_
fC*:[as=rc,vc=tr]:አፋ፟ጨ፟::fCy.A_cspsrc
fC*:[as=smp,vc=cs]:አስፈጨ፟::fCy.A_csps
fC*:[as=smp,vc=smp]:ፈጨ፟::fCy.A_
fS_m:[as=smp,vc=smp]:ፈጸ፟መ::fjy.A_
fTT:[as=smp,vc=smp]:ፈጠ፟ጠ::fTT.A_
fTT:[as=smp,vc=tr]:አፈጠ፟ጠ::fTT.A_cs
fTn:[as=smp,vc=smp]:ፈጠ፟ነ::fTn.A_
fTn:[as=smp,vc=tr]:አፈጠ፟ነ::fTn.A_cs
fTr:[as=smp,vc=smp]:ፈጠ፟ረ::fTr.A_
fann:[as=smp,vc=smp]:ፋነ፟ነ::gnT.C_
fgfg:[as=smp,vc=smp]:ፈገፈ፟ገ::fgr.C_
fj*:[as=rc,vc=ps]:ተፋጀ፟::fjy.A_psrc
fj*:[as=smp,vc=cs]:አስፈጀ፟::fjy.A_csps
fl':[as=smp,vc=smp]:ፈላ፟::flh.A_
fl':[as=smp,vc=tr]:አፈላ፟::flh.A_cs
flT:[as=smp,vc=smp]:ፈለ፟ጠ::flT.A_
fl_g:[as=smp,vc=cs,ob=[+xpl]]:አስፈለ፟ገው::xy.A_csps3
fl_g:[as=smp,vc=cs]:አስፈለ፟ገ::xy.A_csps3
fl_g:[as=smp,vc=smp]:ፈለ፟ገ::xy.A_
flfl:[as=smp,vc=ps]:ተፈለፈ፟ለ::flfl.E_ps
flfl:[as=smp,vc=smp]:ፈለፈ፟ለ::flfl.E_
flq:[as=smp,vc=smp]:ፈለ፟ቀ::flq.A_
